Hips_Xposition,Hips_Yposition,Hips_Zposition,Spine_Xposition,Spine_Yposition,Spine_Zposition,Spine1_Xposition,Spine1_Yposition,Spine1_Zposition,Spine2_Xposition,Spine2_Yposition,Spine2_Zposition,Spine3_Xposition,Spine3_Yposition,Spine3_Zposition,LeftArm_Xposition,LeftArm_Yposition,LeftArm_Zposition,LeftForeArm_Xposition,LeftForeArm_Yposition,LeftForeArm_Zposition,LeftHand_Xposition,LeftHand_Yposition,LeftHand_Zposition,RightArm_Xposition,RightArm_Yposition,RightArm_Zposition,RightForeArm_Xposition,RightForeArm_Yposition,RightForeArm_Zposition,RightHand_Xposition,RightHand_Yposition,RightHand_Zposition,Neck_Xposition,Neck_Yposition,Neck_Zposition,Neck1_Xposition,Neck1_Yposition,Neck1_Zposition,Head_Xposition,Head_Yposition,Head_Zposition
-12.9395,88.5586,-47.4665,-12.664973146458847,101.76517995350109,-45.86979948065785,-12.505725591118601,110.36961414415028,-46.31080777412343,-12.17560249354422,118.91425334788045,-47.37677937718127,-12.00256917406064,127.46514599394754,-48.429599526011934,-22.958563704961968,138.1371034560326,-63.387394993972734,-26.311988058208218,115.96099791329048,-81.94593445359124,-2.704746505460669,120.74594068432188,-87.1847023534112,0.18667792220121893,137.7550692272041,-37.10506162033127,-0.8117768851804845,117.1895787693535,-16.525747029323327,5.916429841731087,97.22944506531256,-3.7208059159581075,-10.613535932322893,138.23646090395704,-50.884284192675885,-9.74471507361537,144.69387475375174,-53.65513330043226,-9.153201668287164,151.09690041320312,-56.61858101985039
-12.9092,88.8294,-47.4837,-12.498059029074168,102.04332724779358,-45.979817889578975,-12.258586772294507,110.64593896904208,-46.42011375791171,-11.869711444559655,119.18951394441113,-47.47474092413071,-11.638048301140918,127.74249065944907,-48.49897592646172,-23.6802031000432,138.09769780920612,-62.480965388731015,-29.394649517712875,114.74413808739315,-78.89440041218963,-6.513903386433434,119.32331721728012,-86.84077034646455,1.5985553751411148,137.92083633712636,-38.12750657740247,2.687109302368801,116.92594631293969,-17.991118072265202,10.952722629205997,96.46029981471571,-7.014817698234613,-10.274668385506741,138.5128461392263,-50.972182972965776,-9.47609583753731,145.03577408155232,-53.60739473577581,-9.039968914859195,151.55543370484511,-56.33401898449816
-12.8263,89.0899,-47.5973,-12.290616399459644,102.30191499787857,-46.11599166412118,-12.02255892584445,110.90570902109852,-46.514751537784406,-11.634116165794914,119.45535651965923,-47.51912980941293,-11.408489433803187,128.01722326437076,-48.46763719663437,-24.513368074835853,138.26354979190037,-61.248541867519656,-32.5621023697482,114.03608762513784,-75.23755369888194,-10.913179299399824,117.03206604830885,-86.63888973208576,2.765958855991075,138.00372866224646,-39.062771294512736,6.465060896869717,116.41738730726705,-19.884893158298805,16.920159082536152,95.64072927437141,-11.72011373248522,-10.153828863059774,138.8165487064644,-50.871074713602674,-9.434062123317084,145.39516753147316,-53.38788982115437,-9.056318790696572,151.95889394506486,-56.01571280457239
-12.7074,89.2593,-47.7853,-12.080915106829734,102.46078452788427,-46.246828502486494,-11.811954445277186,111.06778993759536,-46.5681599197821,-11.451330642911794,119.62716697959226,-47.49721910309821,-11.25533788672871,128.20065283663791,-48.34164964409149,-25.413707618916305,138.5642420363059,-59.57752739227071,-35.520141835853366,113.87118912399795,-71.22044902297337,-15.890172631406374,113.91708611627035,-86.13032570450777,3.8221598281443097,137.9865453506736,-40.06971269115298,9.977495361152707,115.90617109400436,-22.12498042868937,22.799616171030593,95.29392205158705,-17.838883426723235,-10.138112881734276,139.03283530532156,-50.66366305993522,-9.483368641975385,145.62029689676172,-53.17509847654528,-9.095757349821866,152.16219151568006,-55.855400767549426
-12.6058,89.3253,-47.9415,-11.866831467842328,102.51055618295625,-46.31622571290429,-11.581338159149954,111.11952087342004,-46.56190104548767,-11.237432594397392,119.68677059388109,-47.42218996776428,-11.058140120194404,128.26943081786607,-48.17181222485162,-26.172581272119277,138.77314908753334,-57.65245223176341,-37.92066944437996,113.84949132997689,-67.04597165160735,-21.823703860545532,109.71200560386644,-85.25067244615715,4.8191404334473935,137.9705807640373,-41.21367634927749,13.0711410159052,115.52946113431463,-24.608100931316482,27.75030909984559,95.73026085340952,-25.002958829849227,-10.071811177180326,139.1285102880229,-50.42651028157477,-9.466071845107852,145.70712282675674,-52.97319145847818,-9.016644104089966,152.19390185135347,-55.775040969364795
-12.5445,89.3014,-48.0933,-11.658263182029359,102.46444985652077,-46.364926664397316,-11.326039213114084,111.0734467963754,-46.54080947780381,-10.969201193733797,119.64606851953249,-47.34015875038744,-10.778056292626157,128.2348195087513,-48.01317874412711,-26.64030501890932,138.68380955065334,-55.82952526965071,-39.618266563648966,113.65107711208796,-63.06688111363514,-28.81408183273284,104.2680426710097,-83.13851475760586,5.7122779432959065,137.98793520831973,-42.398043874252856,15.733777621628482,115.33166348354341,-27.110552433853563,31.23812784062569,96.9563166442675,-32.551505749495355,-9.888926960859383,139.1083039721002,-50.238689855468046,-9.277263283841354,145.66084209973698,-52.850348279168074,-8.713997609493072,152.07538985973855,-55.79431786202043
-12.513,89.1288,-48.152,-11.462620708659893,102.27543988217272,-46.3909960923413,-11.048603255398971,110.8809655278994,-46.56319873208831,-10.641023276783912,119.45137713920866,-47.36198481970335,-10.407235161820374,128.0408143836578,-48.012405284458154,-26.779970169293218,138.27318518953828,-54.47613484422179,-40.556382966039685,113.090110568405,-59.32048226054858,-36.514217586326616,98.65149452502268,-78.88651113599573,6.471112620610054,137.92920886637535,-43.55422193383221,17.98884783041587,115.15898244853584,-29.543402424355804,33.13385452937467,98.28322983061511,-39.21190622935246,-9.572163304467859,138.91785598077243,-50.24147148753417,-8.887365398436351,145.44009534257984,-52.91019658112943,-8.154612423143824,151.7795779969358,-55.97690179068572
-12.4276,88.82600000000001,-48.1099,-11.22536360693694,101.96674738180548,-46.40286821565412,-10.733278007399775,110.56628163351549,-46.65186270634501,-10.270456478159767,119.12561197842156,-47.534923360457896,-9.98568592588448,127.70743291578421,-48.261140250650556,-26.66478985244321,137.58933654207064,-53.77649529410296,-41.00058756105458,112.33317268745884,-55.79034489543204,-43.974956391955786,94.28083097190469,-72.31028160241213,7.138401480558307,137.67963627583606,-44.76578062769041,19.609011129306168,114.89128677572883,-31.62730579765321,33.733673082122145,98.8430809638426,-43.89886784565725,-9.153471805132725,138.5591462628675,-50.61142792239541,-8.346718635204212,145.04273911864937,-53.339581344266044,-7.4074251085299965,151.32295776511214,-56.47123099155568
-12.2533,88.4618,-48.1758,-10.943486839553234,101.59811056664893,-46.5143831976086,-10.371660533445228,110.18783119068769,-46.89628647935112,-9.836312505364528,118.72652587857712,-47.92596184364753,-9.482349216128004,127.29073927314892,-48.81201757671956,-26.27350888451981,136.89597964289464,-53.733204638104546,-41.13210971601621,111.895658764478,-52.44851163335224,-49.87785436325236,91.96664274576405,-64.02385142323239,7.804303625447266,137.23663867857945,-46.02790761734826,20.317985436611174,114.47346533701595,-32.8867430661801,33.335620326441486,98.3943870323093,-46.28997562053747,-8.617674808832753,138.08674496145994,-51.39556444049515,-7.690786808831057,144.51990219548202,-54.20376933469403,-6.540360609419293,150.75044955391937,-57.36406160978128
-12.0342,88.1648,-48.3569,-10.678654327775828,101.30565809139141,-46.76979062682267,-10.012724910302364,109.87988831062832,-47.31315974488871,-9.370132531660488,118.38771691957615,-48.52149050907556,-8.910039653498258,126.92390600724941,-49.60681361440069,-25.586493686968684,136.50989880098138,-54.320875267888695,-41.0844588634799,112.3476046115512,-49.47927287807239,-53.57041244836111,92.00742850777708,-55.64534288283625,8.464050859525507,136.70891729659374,-47.06339100609066,20.218625656548266,114.01161539295612,-33.13116374529972,32.1132795177749,96.95279724420736,-46.36582101511695,-7.933216222544836,137.63801434699317,-52.47557877017313,-6.8604387838657725,143.98719718379346,-55.419670134574226,-5.484626113348418,150.1371422381422,-58.647047307161245
